Team,Ranking
Houston,0.21177642003590488
Purdue,0.171061692468201
Arizona,0.16170307963056618
Iowa State,0.15233467697924177
BYU,0.152272139419616
Alabama,0.14976863620898767
Tennessee,0.14653653938812738
UConn,0.14269736087362317
Auburn,0.13984282904194448
UNC,0.13858865003251405
Illinois,0.13157803187538236
Wisconsin,0.12912507587806502
Michigan State,0.127087125663651
Baylor,0.12630216467203578
Marquette,0.12204719256484799
Duke,0.12015388607596068
Saint Mary's,0.1198684009677959
Kansas,0.11970123896544445
Creighton,0.11804485924395104
New Mexico,0.11782656501258514
Utah,0.11241030447704956
Oklahoma,0.11162792674448235
St. John's (NY),0.11049191330874682
Dayton,0.10938175383427953
Cincinnati,0.1093504040064836
TCU,0.10818341564252956
Gonzaga,0.10553452796909463
Texas Tech,0.10428139521099282
San Diego State,0.10367531295379194
Florida Atlantic,0.10149273949247319
Kentucky,0.10073748459499289
Texas,0.10019803155977818
Colorado,0.10010332600844703
Utah State,0.09945990319888422
Indiana State,0.0969902025834914
SMU,0.09661764242807788
Colorado State,0.09589984426161108
Clemson,0.09449919881513615
Mississippi State,0.0931989213614666
Villanova,0.0912609538588395
Wake Forest,0.09066449811003473
Xavier,0.09055528451722838
Washington State,0.09022480712920813
Florida,0.09020620440279131
Butler,0.08828297331811316
Providence,0.0868992903414045
Drake,0.0851832277753044
Texas A&M,0.08497584371792215
Iowa,0.0832625677020379
Washington,0.08187235085521592
Northwestern,0.08131090917161819
Oregon,0.07978117761560749
Seton Hall,0.07948246004968704
Virginia,0.07940674496544735
UCF,0.07921838995125696
Boise State,0.07906223416813146
South Carolina,0.07905390431355187
Ohio State,0.07902889303668638
Nebraska,0.07831026030968596
Virginia Tech,0.07762939097842629
Pitt,0.07705581338267269
Miami (FL),0.07664308254334316
Nevada,0.07592277020653063
North Texas,0.07268169870445078
San Francisco,0.07243143955088904
Maryland,0.06952687016679848
Ole Miss,0.06950339488306248
Bradley,0.06914180150372277
Florida State,0.06733994423685755
Princeton,0.06622822900627442
Memphis,0.06586706886452616
Richmond,0.06537217386294118
Kansas State,0.06520639364010881
Grand Canyon,0.06500362970101936
Georgia,0.06379894093857855
Syracuse,0.060620457943717745
NC State,0.06004748911626846
Minnesota,0.05860239598180528
Louisiana Tech,0.05736467122765977
James Madison,0.057238231447195795
LSU,0.05711247622378567
VCU,0.05657612069560442
UC-Irvine,0.05550230711293423
Boston College,0.05447875509821609
UMass,0.05420623240288073
St. Bonaventure,0.05412913615944211
Appalachian State,0.053247905924338854
McNeese State,0.051223204594083464
Michigan,0.05106671180216677
Rutgers,0.05104511993989537
St. Joseph's,0.05043284660935968
Penn State,0.04842295944078891
Stanford,0.04833361835141655
Akron,0.04803681499094583
UNLV,0.04795663989052812
Indiana,0.047881207907617504
Charlotte,0.045762375196722105
George Mason,0.04570001040894011
Duquesne,0.044816000616187505
USC,0.04253333391807617
Southern Illinois,0.040677315714579436
Cornell,0.03831864989297251
Northern Iowa,0.03778793802018314
Yale,0.03727013952389026
Loyola (IL),0.03633447549808334
UCLA,0.03618978798070311
Drexel,0.03587932147876472
California,0.03533157181278794
Missouri,0.035329763855824446
UC-San Diego,0.03522658739990474
Samford,0.03403501938564182
Santa Clara,0.03398856001080313
Arizona State,0.032503161244443295
Tulane,0.03178756553803135
Liberty,0.03168182807000517
Youngstown State,0.03124020657507979
Davidson,0.031111954977779136
Georgia Tech,0.03009820230090384
South Florida,0.027745447433423557
Seattle,0.02739390908800563
Arkansas,0.027203749360738973
Vermont,0.025264007733942193
West Virginia,0.024902215371367956
UNC Wilmington,0.024739649582032525
Oklahoma State,0.0246812352312205
Toledo,0.023430992642577093
College of Charleston,0.021813421494588914
Eastern Washington,0.021252745171778994
Morehead State,0.021076640091155403
Weber State,0.01809026175254902
Western Carolina,0.017680904857366325
Oakland,0.01656264159948097
Louisiana,0.016344979985814287
Oregon State,0.015931534594754476
Wichita State,0.015831434284332938
High Point,0.013744192184292816
UAB,0.01292805428355638
George Washington,0.01229528984380882
Towson,0.010976009314773091
Stephen F. Austin,0.010612266211621016
Loyola Marymount,0.01016192943119118
Murray State,0.00986691812016054
Montana,0.008982732979552635
South Dakota State,0.008628783429107811
Hofstra,0.00848726928426683
Troy,0.008323806033369692
St. Thomas,0.008172331984281378
UNC Greensboro,0.007689249997831444
Furman,0.007326677473081956
UMass-Lowell,0.006981231427149941
Notre Dame,0.006491177277605456
Wright State,0.006371739585291841
Delaware,0.006270028342189548
Missouri State,0.0061073706102027
Chattanooga,0.0057145866070645425
Georgetown,0.004723425138145408
Tulsa,0.0031054642403840803
UCSB,0.0029821223395091316
Winthrop,0.0028504474347375783
East Carolina,0.0023649962636577504
California Baptist,0.002234191683207095
Colgate,0.002100557821072955
Wyoming,0.001607245941753037
Purdue Fort Wayne,0.0008230665796709259
Belmont,0.0005826052330743721
Ohio,-0.0004945558839773963
UC-Davis,-0.00105014094549074
Jacksonville State,-0.002252682752500252
UIC,-0.0029612652432962003
Western Kentucky,-0.0029673323237070135
UNC Asheville,-0.004016996161149361
Lipscomb,-0.004292011322096424
Bryant,-0.00451427653658685
Fordham,-0.0051866944458646485
Longwood,-0.005331298667151669
Louisville,-0.00733823468519302
Long Beach State,-0.007561636779425005
Vanderbilt,-0.008251656784586215
Monmouth,-0.008480826886265228
UT Arlington,-0.00889971137933343
Hawaii,-0.009185979735521157
Tarleton State,-0.009746258923750795
Kent State,-0.00997374961959155
Northern Colorado,-0.010428267927360187
Rhode Island,-0.01052323382090861
San Jose State,-0.01062106527190243
Iona,-0.01062341402440606
Penn,-0.010717452784413427
Quinnipiac,-0.011130486464066886
Arkansas State,-0.012396007136769891
Cleveland State,-0.013291548432898459
Fairfield,-0.01423905448004729
La Salle,-0.014845077315838952
Utah Valley,-0.015202213086929964
Merrimack,-0.015500223418117094
Radford,-0.015677857189525326
Denver,-0.01570878506773016
Bowling Green State,-0.01593758305427456
Marshall,-0.01656323351006474
Northern Kentucky,-0.01699089780484145
Air Force,-0.017507896519534584
Gardner-Webb,-0.01779959116644364
Green Bay,-0.018789207696299944
St. Peter's,-0.018953785628407088
Stony Brook,-0.018975988490575597
Pepperdine,-0.019076022759922436
Eastern Kentucky,-0.019374598540769245
Sam Houston,-0.019388003073897958
Illinois State,-0.01946264856089845
Harvard,-0.01990020122775497
Stetson,-0.02011603331458113
New Hampshire,-0.020148326180970427
Rice,-0.02087749344078979
Saint Louis,-0.02107670609298236
Fresno State,-0.021280540092911627
Southern Utah,-0.021825557118099824
Texas A&M-Corpus Christi,-0.02214031487057769
San Diego,-0.02240320108024745
Oral Roberts,-0.02251508258568039
Temple,-0.023018203051012306
Southern,-0.02375716281902101
Evansville,-0.024771978730853815
Omaha,-0.02478664961116555
UTEP,-0.024835454386086038
Wofford,-0.0261662539903196
Cal State Northridge,-0.02651133398054246
Cal State Fullerton,-0.02654775481536127
Columbia,-0.02673732506407874
Abilene Christian,-0.027229537863471185
Miami (OH),-0.027711512485793385
Montana State,-0.02902719864798266
Norfolk State,-0.029417482327262105
Lamar,-0.03026552295550662
Georgia State,-0.03042527998105586
ETSU,-0.030614132393318498
Mercer,-0.03212507064447228
Portland State,-0.03247187781946992
Kennesaw State,-0.03285015334924716
Austin Peay,-0.03285826339157952
Albany (NY),-0.03327558979160645
Central Connecticut,-0.033879984822901804
Northeastern,-0.03419623782359197
Milwaukee,-0.0342169561708219
Canisius,-0.03500284481303512
Ball State,-0.03516599675189557
Maine,-0.03542920356837141
Tennessee State,-0.03550699666451423
Southern Miss,-0.03582635787770945
The Citadel,-0.03598639089844572
Marist,-0.03643011230751372
North Florida,-0.036484947349374804
SIU-Edwardsville,-0.037270311765079125
Mount St. Mary's,-0.037454714182041826
UT-Martin,-0.03802849961461013
North Alabama,-0.03917671117276214
Nicholls State,-0.04087650272437973
Kansas City,-0.04120961241686092
UC-Riverside,-0.04182694762742819
Robert Morris,-0.04197341106303191
Florida Gulf Coast,-0.042097714419216586
South Alabama,-0.04212716674413882
New Mexico State,-0.04214456060479551
North Carolina Central,-0.04236521824587767
Valparaiso,-0.04254676047532433
North Dakota State,-0.042617312282019496
Western Illinois,-0.04353463247099348
UTSA,-0.043793391464458126
Little Rock,-0.04536117445506666
Alabama State,-0.045806898151493296
Northern Illinois,-0.04591572700163439
Howard,-0.046253919456364055
Texas State,-0.04627555228178411
Central Michigan,-0.0464843338399763
Brown,-0.04659709000711914
Old Dominion,-0.047235794942372164
Cal State Bakersfield,-0.04770982523779563
Florida International,-0.04776721777858046
Idaho State,-0.04835878725951941
American,-0.049148766986562994
Western Michigan,-0.04932675109314399
Jackson State,-0.049340702625546976
DePaul,-0.04968932509548005
Niagara,-0.05013738917518604
Lehigh,-0.05037743875816663
Rider,-0.05063443091024348
North Dakota,-0.051909196367752486
Bucknell,-0.05293965704510382
Utah Tech,-0.05701508343756614
Middle Tennessee,-0.05739723918067203
Queens (NC),-0.058089497717038
Navy,-0.06050616407134633
Chicago State,-0.0610480768600113
Texas Southern,-0.06202088037556326
Portland,-0.06254171615121673
Le Moyne,-0.06346729650427486
Southeastern Louisiana,-0.06354382395876135
USC Upstate,-0.06371466965785291
Sacred Heart,-0.06461597167650947
Texas-Rio Grande Valley,-0.06555449402567985
Presbyterian,-0.06608993303022563
Eastern Illinois,-0.06695761364670405
Binghamton,-0.06766512013345352
Coastal Carolina,-0.06829135132715414
Sacramento State,-0.06839677116560709
Georgia Southern,-0.06913559079172035
Elon,-0.06925939869961903
Lafayette,-0.06929364317327688
Louisiana-Monroe,-0.07126067382976048
Wagner,-0.07168413749409736
Alcorn State,-0.07387007692856576
William & Mary,-0.07388021581345484
Boston University,-0.07388156989685571
Prairie View,-0.07422565800471399
UMBC,-0.07448657142688515
Bellarmine,-0.07468088487450143
Delaware State,-0.07617526722647172
Jacksonville,-0.07622290545762603
Idaho,-0.07712273587351755
Northern Arizona,-0.07796443008480322
South Dakota,-0.07974058378146813
Arkansas-Pine Bluff,-0.08010313489036437
Campbell,-0.08072585790964777
Grambling,-0.08170658724019318
Texas A&M-Commerce,-0.08263614085329059
South Carolina State,-0.08430036556623553
Charleston Southern,-0.08572563606346306
Bethune-Cookman,-0.08687486696194692
Army,-0.0877285276679013
North Carolina A&T,-0.0880781418750997
Cal Poly,-0.08879630220597119
Southern Indiana,-0.0888387711654916
Fairleigh Dickinson,-0.08931667688913242
Incarnate Word,-0.09171596131401691
Manhattan,-0.09223216572747939
NJIT,-0.09225526100294348
Eastern Michigan,-0.09479287951918809
Central Arkansas,-0.09560517851683105
Buffalo,-0.09570227384483694
Florida A&M,-0.0986462987696311
Tennessee Tech,-0.09883167801819402
Northwestern State,-0.10481793980835352
Dartmouth,-0.1060601285123084
Houston Christian,-0.10733297922879075
New Orleans,-0.1104879934835721
Alabama A&M,-0.11056042735619824
Loyola (MD),-0.11194089850637137
Hampton,-0.11249157229398965
Lindenwood,-0.11279704895984836
Morgan State,-0.11442822030053708
VMI,-0.11611222988698162
Holy Cross,-0.11660843060563485
Detroit Mercy,-0.12184135322884092
IUPUI,-0.1229730826882384
Pacific,-0.12330410629089016
Southeast Missouri State,-0.12338369718447566
Maryland-Eastern Shore,-0.1239091620315759
Saint Francis (PA),-0.12400899837793909
Stonehill,-0.1252592257649354
Siena,-0.12553178805726406
LIU,-0.12731587058202865
Coppin State,-0.1414024929963965
Mississippi Valley State,-0.1950905209617035
